覆核狀態,SI代碼,SI名稱,開始受理贖回日,固定配息率,固定配息期間,浮動配息率,幣轉,連結標的,CNR分配率,銀行收益率,計績檔次,股債類型,保本率,最低申購金額,申購單位金額
覆核中,15WMSD0612,雙匯出擊３１十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0613,雙匯出擊３４十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0701,多倍利２十年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0703,澳利雙匯１６十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0705,多倍利３十年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0712,雙匯出擊３５十年美金匯率型,"=""""",,"=""""",,Y,AUDUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0713,雙匯出擊３６十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0714,雙匯出擊３７十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0716,雙匯出擊３８十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0801,多倍利５十年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0803,多倍利６十年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0903,多倍利８十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0905,歐美集利５十年澳幣股權型,"=""""",,"=""""",,,SX5E Index;SPX Index,,,,,,,
覆核中,15WMSD1001,多倍利９十二年美金利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD1002,多倍利９十二年美金利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD1111,多倍優利十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD1112,雙匯出擊３９十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD1114,多倍優利２十二美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD1201,多倍優利３十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0101,多倍優利５十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0102,多倍優利５十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0103,多倍利１０五年人民幣利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0201,多倍優利６十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0202,多倍優利６十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0203,多倍利１１五年人民幣利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0212,多倍利１２五年美金利率型,"=""""",3,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0213,多倍優利７十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0301,多倍利１３五年人民幣利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0303,多倍優利８十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0311,多倍優利９十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0313,多倍優利１０十二年美金利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0401,多倍優利１１十二年美金利率型,"=""""",4,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0403,多倍利１４五年人民幣利率型,"=""""",4,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0404,多倍利１４五年人民幣利率型,"=""""",4,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0405,多倍優利１２十二年美金利率型,"=""""",4,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0406,多倍優利１２十二年美金利率型,"=""""",4,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0501,多倍優利１３十二年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0503,多倍利１５五年人民幣利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0511,紐利發發３二年紐西蘭幣利率型,"=""""",3.8,"=""到期""",,,NDBB3M Index,,,,,,,
覆核中,16WMSD0513,多倍優利１４十二年澳幣利率型,"=""""",,"=""""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0601,雙重得利一年人民幣匯率型,"=""""",2,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD0611,多倍優利１５十二年美金利率型,"=""""",3.2,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD0612,Ｓ＆Ｐ集利１９五年人民幣股權型,"=""""",4,"=""一年""",,,SPX Index,,,,,,,
覆核中,16WMSD0701,歐美集利６五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD0803,歐美集利７五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD0804,歐美集利７五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD0811,歐美集利８十二年澳幣股權型,"=""""",,"=""""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD0901,歐美集利９五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD1001,歐美集利１０五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD1003,人民幣發發六個月人民幣匯率型,"=""""",2.95,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD1101,歐美集利１１五年人民幣股權型,"=""""",4,"=""一年""",,,SX5E Index;SPX Index,,,,,,,
覆核中,16WMSD1103,人民幣發發２六個月人民幣匯率型,"=""""",3,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD1203,多倍優利１７十年美金利率型,"=""""",7,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,16WMSD1205,人民幣發發３六個月人民幣匯率型,"=""""",3,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD1207,人民幣發發５六個月人民幣匯率型,"=""""",3.2,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD1209,人民幣發發６三個月人民幣匯率型,"=""""",4,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,16WMSD1211,人民幣發發７三個月人民幣匯率型,"=""""",5.1,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,17WMSD0101,多倍優利１８十年美金利率型,"=""""",7,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0103,人民幣發發９二個月人民幣匯率型,"=""""",5,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,17WMSD0105,人民幣發發１１六個月人民幣匯率型,"=""""",4,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,17WMSD0111,人民幣發發８三個月人民幣匯率型,"=""""",5,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,17WMSD0113,人民幣發發１０三個月人民幣匯率型,"=""""",5,"=""到期""",,,USDCNH Curncy,,,,,,,
覆核中,17WMSD0201,多倍優利１９十二年美金利率型,"=""""",6.3,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0301,多倍優利２０十二年美金利率型,"=""""",6.5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0303,人民幣發發１２一年期人民幣利率型,"=""""",3.8,"=""到期""",,,US0003M Index,,,,,,,
覆核中,17WMSD0305,人民幣發發１３一年期人民幣利率型,"=""""",3.82,"=""到期""",,,US0003M Index,,,,,,,
覆核中,17WMSD0311,多倍優利２１十二年美金利率型,"=""""",6.5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0401,人民幣發發１４一年期人民幣利率型,"=""""",3.8,"=""到期""",,,US0003M Index,,,,,,,
覆核中,17WMSD0403,多倍優利２２十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0405,人民幣發發１５一年期人民幣利率型,"=""""",3.7,"=""到期""",,,US0003M Index,,,,,,,
覆核中,17WMSD0501,多倍優利２３十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0503,多倍利１６五年人民幣利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0505,人民幣發發１６一年期人民幣利率型,"=""""",3.72,"=""到期""",,,US0003M Index,,,,,,,
覆核中,17WMSD0507,富利得利一年期人民幣利率型,"=""""",3.45,"=""一年""",,,,,,,,,,
覆核中,17WMSD0601,多倍優利２４十二年美金利率型,"=""""",6,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,17WMSD0603,富利得利２一年期人民幣利率型,"=""""",3.45,"=""一年""",,,,,,,,,,
